aX,aY,aZ,Gx,Gy,Gz
-2.847,-1.933,0.713,-75.195,3.601,14.526
-2.608,-1.79,0.187,-86.365,-26.306,-5.432
-1.005,-1.747,1.134,-93.872,-45.837,-32.41
-0.378,-0.464,1.833,-105.103,-57.861,-38.269
0.263,1.732,1.144,-128.418,-58.167,-29.236
2.283,2.172,0.641,-153.442,-48.889,-39.917
0.129,1.613,2.149,-171.326,-44.006,-39.246
5.369,5.398,0.646,-183.838,-30.273,-10.559
0.632,0.823,-0.258,-176.636,-15.381,37.659
-0.402,-1.464,-0.072,-143.799,-14.404,78.186
2.838,-1.689,-0.651,-115.295,-4.089,40.161
2.632,-0.751,-0.383,-91.248,14.16,56.885
0.799,-0.167,0.579,-78.43,20.63,76.965
-0.234,-1.01,1.948,-66.162,9.094,56.213
-0.455,-1.139,2.211,-57.19,-8.118,47.791
-0.392,-0.392,2.263,-59.326,-22.156,41.443
-0.258,-0.502,1.675,-66.223,-34.851,17.151
-0.258,-0.062,0.976,-72.388,-43.091,-9.338
1.187,0.014,-0.799,-77.454,-45.654,-50.11
1.445,-0.45,-1.608,-70.679,-39.001,-16.296
0.569,-0.947,-2.192,-54.993,-34.241,0.488
0.708,0.033,-2.082,-33.508,-27.588,-35.767
0.703,-0.258,-2.417,-8.789,-17.822,-52.979
1.273,-0.904,-1.187,27.893,-1.953,-46.814
0.976,-2.101,-0.957,68.97,13.733,5.737
-2.22,-1.986,0.89,96.375,23.621,15.564
1.278,-5.221,0.22,113.281,39.063,-49.683
2.378,3.732,-4.608,112.0,70.557,-46.509
-0.043,2.029,-1.392,101.807,89.661,2.625
-0.345,2.287,-1.622,87.158,96.13,18.921
-0.818,2.397,-1.416,81.97,90.515,29.48
-1.263,0.679,-0.861,99.67,71.045,17.273
-1.268,1.029,-1.105,131.653,49.683,60.547
-1.412,2.34,0.01,166.504,21.912,107.239
-0.579,3.077,1.928,178.467,0.671,68.97
-0.177,2.962,2.761,173.218,-1.526,25.208
-0.498,2.517,2.656,157.654,7.813,33.936
-1.0,1.373,2.134,140.503,18.311,68.787
0.756,-0.651,3.048,117.676,32.288,67.81
0.813,-0.837,2.311,91.797,48.035,-3.845
-0.756,-0.23,0.502,57.739,58.594,-26.978
-3.254,-0.689,2.139,24.841,53.528,32.898
-4.374,-2.287,2.062,9.155,30.945,78.979
-2.751,-2.646,0.421,-1.709,4.028,23.438
-1.081,-2.603,-0.818,-8.85,-14.282,-52.979
-1.369,-3.618,-1.029,-6.653,-24.963,-68.787
-0.282,-3.216,-0.957,-1.648,-31.372,-65.552
0.287,-1.904,-0.818,-4.272,-30.151,-48.035
-0.01,-0.488,-1.632,-15.32,-23.315,-9.094
0.182,-1.096,-0.761,-22.522,-16.541,-2.258
-1.665,0.522,0.493,-20.996,-17.883,-3.235
-1.713,0.014,0.651,-9.949,-25.879,-38.635
-0.263,1.201,0.507,-0.61,-28.32,-42.786
0.723,3.163,-0.211,6.958,-25.146,5.859
0.311,3.508,0.072,13.062,-26.245,31.006
1.971,5.12,0.445,10.315,-24.17,2.502
1.799,5.541,-2.665,7.202,-16.663,20.874
1.397,3.517,-2.512,18.188,-15.747,11.169
2.546,1.263,-2.565,47.729,-14.16,-51.819
3.598,0.483,-3.369,77.576,0.0,-36.987
4.096,0.234,-3.646,89.233,17.639,29.053
1.732,0.397,-3.598,81.848,32.288,75.867
0.723,-0.1,-2.708,62.439,42.542,80.383
2.67,-0.813,-2.397,35.767,61.768,66.162
1.507,-1.086,-1.067,8.728,74.036,45.654
-1.909,-0.593,-1.503,-6.042,70.068,49.744
-0.799,-3.732,-0.081,2.991,48.706,6.409
-1.632,-3.46,-0.005,26.917,25.391,32.593
-1.584,-1.651,0.1,40.466,-0.488,62.5
-0.105,-0.182,0.536,26.489,-13.428,13.794
1.67,0.742,0.866,3.479,-6.592,-23.499
1.517,1.177,-1.321,-26.123,10.376,-45.227
0.412,-0.029,-0.34,-35.522,17.7,-21.118
-0.325,-0.115,-0.34,-20.264,12.268,25.085
-0.569,0.593,-1.038,0.671,-1.465,1.831
-0.364,2.134,-1.302,12.146,-10.01,16.479
0.163,3.699,-1.742,8.972,-13.977,52.124
-0.144,3.201,-2.445,-5.249,-15.259,12.573
0.373,1.144,-2.732,-17.212,-16.113,-54.688
1.254,-0.469,-2.139,-12.634,-15.259,-33.997
1.373,-0.785,-1.512,-0.61,-17.761,5.92
1.268,0.22,-1.053,12.817,-27.71,14.587
1.852,0.44,-0.565,21.606,-38.94,27.344
0.474,1.239,0.364,25.757,-58.716,55.359
-0.354,1.431,0.766,19.836,-82.825,10.925
-0.919,1.426,0.354,9.644,-100.22,-75.928
1.11,0.431,-0.679,-1.587,-102.539,-107.483
1.78,1.201,-0.842,-12.634,-87.524,-23.254
1.584,1.407,-2.546,-30.151,-55.359,70.007
1.546,0.215,-2.426,-23.865,-21.179,88.928
-1.273,-0.794,-1.938,18.188,-10.437,164.368
-3.651,1.125,-1.699,63.66,-23.621,211.304
-4.24,3.163,-3.46,67.322,-38.025,159.729
-1.225,2.187,-2.393,42.847,-27.771,46.997
0.77,3.814,-5.005,7.935,17.029,26.855
1.273,2.407,-4.962,-16.907,63.354,50.476
-2.594,-0.67,-4.503,-17.456,87.219,27.71
-6.005,-1.737,-2.785,7.813,67.932,44.739
-6.886,0.412,-3.948,24.109,11.169,5.005
-6.202,1.263,-3.407,6.714,-53.101,-45.227
-7.441,1.651,-2.708,-28.809,-111.633,-74.768
-7.963,3.685,-3.196,-91.553,-188.721,-136.231
-8.991,5.35,-4.01,-149.902,-261.169,-162.415
-6.814,5.891,-3.752,-201.111,-342.712,-227.722
-4.632,7.905,-4.087,-233.093,-415.1,-219.36
-5.723,9.178,-1.196,-260.132,-478.943,-200.623
-5.431,12.006,3.689,-291.626,-571.777,-222.229
-15.054,30.041,23.543,-355.713,-647.949,36.499
-22.696,63.571,48.12,-660.461,-571.655,110.718
132.109,24.246,24.624,-898.132,607.91,462.402
153.01,19.38,-45.158,-398.926,1999.939,569.641
-9.776,43.669,-13.805,548.462,1999.939,1710.571
26.189,29.3,2.34,555.908,1477.051,-83.496
-18.557,-26.711,36.511,170.532,854.309,199.646
-5.216,-31.462,29.055,77.698,165.71,260.559
5.412,-13.858,21.983,36.072,-65.063,-22.522
9.819,-19.758,19.614,125.855,-129.211,-316.711
24.505,-23.036,12.169,217.163,-42.969,8.728
7.867,-7.479,10.618,118.408,25.208,36.072
-1.498,-6.546,10.058,-52.734,-12.268,-13.733
5.077,-7.187,3.809,-143.189,-50.842,19.959
2.33,-2.306,0.512,-216.37,-54.688,11.169
-1.498,0.163,-0.359,-246.399,-64.819,-4.333
-3.555,0.962,-1.239,-251.892,-94.849,-40.466
-1.211,0.938,-3.35,-223.694,-107.422,-36.499
-3.082,2.306,-4.436,-188.355,-105.713,-18.494
-4.082,4.216,-5.091,-142.944,-102.6,-25.574
-3.953,2.976,-4.589,-94.116,-101.624,-97.107
-2.56,1.378,-3.369,-22.034,-92.896,-81.482
-2.244,-2.019,-2.991,42.908,-70.74,-5.554
-5.546,-0.134,-4.034,60.242,-58.716,49.377
-4.776,7.656,-5.0,18.127,-56.58,45.959
-0.517,12.475,-9.02,-56.824,-43.579,-56.458
6.575,7.757,-11.36,-125.794,-21.423,-184.082
-9.298,-4.144,2.043,-113.281,-66.284,-204.041
-7.202,-3.053,-3.302,-66.65,-136.658,-514.71
2.713,0.79,-4.173,4.395,-150.94,-730.53
7.206,0.531,-2.153,84.473,-93.445,-317.749
1.785,0.182,-1.718,127.93,-44.983,45.837
2.991,4.01,-1.407,109.985,-1.892,-112.427
1.201,0.847,-1.579,91.98,28.137,-184.204
0.392,-0.962,-1.794,90.332,39.49,12.024
-1.431,0.077,-1.469,78.186,19.592,42.786
-0.531,-0.249,-1.459,56.946,-9.46,-52.551
1.192,-1.388,-1.316,55.115,-18.921,-12.695
1.215,-1.086,-1.129,56.03,-20.752,14.038
0.292,-0.335,0.167,49.683,-21.545,2.258
-0.191,0.062,0.713,42.542,-23.682,-20.874
-0.957,0.024,1.302,34.485,-32.166,18.982
-2.359,-0.368,1.919,31.799,-54.81,96.252
-1.89,-1.914,2.278,28.931,-80.383,120.483
2.153,-0.22,2.249,15.564,-102.966,128.784
5.35,0.115,1.924,0.488,-105.591,247.925
2.263,-3.546,5.13,-27.283,-101.135,540.71
-2.675,3.115,3.101,-90.637,-70.313,727.844
-0.823,2.881,2.479,-153.503,-7.751,733.948
-7.517,8.728,6.106,-180.603,62.256,526.245
-1.718,7.843,-3.441,-208.923,97.778,247.864
-5.948,2.029,1.024,-215.21,63.416,-97.046
-5.996,-0.679,-2.038,-140.991,-5.615,-8.301
-1.699,-1.01,-1.349,-73.242,-38.696,61.462
-2.512,1.11,-1.412,-33.325,-58.167,75.623
-2.302,3.187,-1.66,-33.325,-61.157,60.059
-0.675,5.13,-2.12,-59.937,-51.88,-5.31
1.689,5.302,-2.598,-98.206,-31.494,-82.764
-0.44,4.756,-1.948,-127.502,-18.494,-104.004
-1.933,3.397,-0.44,-149.78,-19.409,-86.121
-2.507,0.632,0.909,-147.522,-31.372,-95.703
-1.187,1.67,-0.56,-139.526,-43.457,-83.984
0.01,-0.077,0.392,-133.179,-45.41,-76.233
0.742,-1.321,0.775,-127.808,-42.847,-66.345
1.928,1.101,1.436,-129.578,-28.748,8.972
3.23,2.354,0.89,-142.761,-6.592,47.424
2.421,0.0,0.593,-155.64,13.245,0.0
2.656,-1.67,-0.402,-155.273,24.353,-30.396
4.024,-2.852,-1.005,-143.921,37.048,19.714
4.12,-2.436,-0.895,-127.136,53.162,58.044
1.828,-1.249,-0.536,-115.173,54.138,54.688
-0.019,0.057,0.014,-104.004,41.26,63.904
-0.861,-1.258,0.474,-90.393,19.897,43.274
-0.938,-0.622,0.153,-81.299,0.977,16.602
0.0,0.22,-2.12,-80.261,-12.939,-19.959
1.311,-1.239,-2.316,-74.585,-15.93,-48.157
0.091,-1.919,-2.302,-51.147,-16.846,-14.038
-0.345,-0.813,-2.531,-23.315,-17.883,20.63
0.943,-0.775,-2.46,-1.404,-15.686,-23.01
-0.431,-0.249,-1.986,26.917,-16.296,-34.241
-0.325,-0.349,-1.809,50.659,-19.165,-29.907
-1.077,-0.517,-1.785,75.989,-23.376,-34.485
-1.235,-0.531,-1.613,96.313,-21.301,-53.711
0.852,-2.283,-1.436,109.192,-6.287,-101.685
1.617,1.34,-2.57,108.582,29.541,-110.84
0.761,1.479,-1.67,98.755,55.298,-58.716
0.656,2.78,-0.861,84.595,75.684,17.273
-2.555,1.459,0.1,94.238,67.505,22.888
-1.962,1.474,-0.766,108.582,53.833,-82.459
-2.627,1.196,-1.239,146.668,41.321,-88.135
-0.943,1.019,0.546,181.702,36.316,-55.054
0.407,1.9,2.244,198.853,48.706,-95.764
0.311,4.292,1.962,187.622,77.087,-120.911
-2.196,4.996,2.388,157.593,102.051,-85.51
-0.239,5.929,4.881,122.131,111.755,-37.598
-1.436,1.838,3.579,99.365,118.591,-2.747
0.282,-0.321,5.364,84.106,118.713,18.25
-0.407,-4.374,3.551,77.759,119.69,-4.517
-0.933,-1.881,5.541,62.805,120.178,-48.34
1.196,-0.991,-3.101,37.476,122.437,-68.848
-2.483,-7.57,3.976,46.753,110.046,37.842
-0.316,-2.436,0.029,55.115,94.666,159.302
-1.823,0.043,-0.766,35.522,68.054,191.406
0.139,-1.78,-1.483,10.559,48.157,174.011
-0.096,-3.326,-0.656,-3.906,34.485,197.327
-1.072,-3.488,0.526,-2.319,14.404,178.345
-2.034,-1.211,-0.392,-6.47,-11.292,74.768
-2.005,0.096,1.771,-7.324,-35.828,16.052
-1.933,-0.541,0.191,-7.629,-54.26,-63.782
-1.177,0.124,0.077,-3.479,-70.129,-121.765
-0.062,1.187,-0.258,1.099,-72.571,-71.777
2.345,2.723,-0.402,-7.507,-64.453,-28.076
2.699,4.417,-0.991,-23.682,-50.354,26.184
0.632,4.867,-2.455,-31.799,-43.518,54.077
0.713,1.598,-1.89,-13.123,-47.119,-11.292
2.373,-0.287,-2.55,23.254,-48.767,-50.293
3.9,0.077,-3.383,55.908,-37.964,-5.432
3.814,0.11,-3.378,62.073,-22.522,52.429
1.215,-0.182,-3.192,49.316,-13.0,45.959
2.158,-0.244,-1.799,22.644,0.488,0.488
5.134,-0.033,-2.527,-1.709,23.621,25.94
0.914,1.464,-3.708,-34.363,47.302,82.642
0.541,-1.833,-2.302,-49.866,52.246,27.893
-0.694,-2.469,-0.933,-38.879,41.138,-25.269
-0.746,-2.728,-0.928,-1.038,22.766,20.386
0.263,-1.651,-0.517,28.32,9.644,39.49
0.479,-0.66,-0.081,46.753,-1.343,79.956
-0.005,0.148,0.828,42.48,-8.85,94.849
-0.072,0.584,1.249,21.606,-11.047,34.241
0.746,0.225,1.632,-8.118,-5.859,-50.964
1.306,0.191,2.809,-35.278,2.869,-62.927
0.636,1.383,1.598,-70.74,10.742,-19.836
0.325,1.172,0.148,-99.915,15.808,0.977
-0.598,-1.349,-0.325,-96.008,6.47,-31.982
-0.641,-2.206,-1.761,-44.006,-16.724,-12.207
-1.345,-1.201,-2.259,19.592,-41.321,77.393
0.153,1.574,-2.574,56.946,-68.359,69.885
0.909,4.584,-2.952,41.565,-73.242,55.725
0.574,7.063,-4.646,-1.221,-60.913,11.108
1.842,6.35,-7.283,-60.059,-38.879,-91.98
-0.431,0.761,-4.723,-70.557,-34.973,-114.319
-2.55,-2.129,-3.153,-23.499,-53.589,5.005
-1.747,-0.871,-2.598,28.015,-76.843,-19.836
0.799,1.378,-2.383,47.729,-76.965,-49.744
1.971,2.383,-1.067,40.771,-52.063,-14.099
4.125,2.976,-0.627,13.977,-20.447,-15.503
4.689,2.665,-1.469,-25.635,20.691,-21.301
1.215,-0.464,-0.368,-30.212,33.386,44.067
-2.192,-3.976,-0.354,23.376,9.949,161.072
-2.9,-1.785,-0.885,85.754,-39.185,124.939
-0.249,0.651,-1.493,98.511,-58.105,56.763
0.689,1.861,-2.909,74.158,-36.133,75.623
1.742,5.235,-3.967,25.635,12.024,148.926
4.374,4.886,-6.245,-20.813,62.805,123.047
-4.819,0.603,-4.417,-33.936,83.679,78.003
-6.211,-1.392,-3.359,-2.319,64.148,144.592
-5.656,0.45,-3.728,27.222,19.287,78.918
-5.345,2.024,-4.024,15.686,-15.442,-51.88
-5.661,3.637,-5.192,-15.747,-36.011,-101.807
-5.101,0.56,-4.311,-60.059,-77.393,-138.916
-8.733,-0.34,-1.455,-83.252,-139.587,-106.567
-10.125,3.89,-2.019,-126.892,-231.14,-127.808
-7.795,5.838,-2.967,-180.054,-308.899,-196.045
-5.029,5.9,-3.072,-212.341,-360.352,-194.397
-3.981,8.063,-2.091,-249.878,-408.142,-167.297
-3.302,8.427,0.67,-279.541,-450.806,-218.384
-8.589,13.518,13.298,-298.401,-515.686,-130.31
-21.16,32.276,35.86,-394.531,-564.453,168.396
50.488,36.286,50.091,-624.878,-193.604,-384.644
120.05,37.305,8.829,-737.427,1197.266,783.569
128.343,15.427,-37.085,-228.76,1999.939,693.176
35.228,71.94,-5.623,346.314,1896.912,1255.31
4.082,21.117,25.553,545.227,1548.889,344.177
-7.144,-27.653,38.894,415.039,888.855,-7.813
-2.383,-21.533,25.218,485.962,299.439,499.268
-7.494,12.666,26.184,343.872,-91.553,228.943
2.79,7.795,19.284,178.406,-194.397,-58.533
9.283,-2.426,18.59,69.946,-142.273,-72.571
9.977,-1.574,18.026,-28.32,-41.931,20.081
4.192,1.373,11.992,-170.898,43.335,-1.038
0.823,0.316,7.431,-257.202,88.074,71.045
-1.072,-0.005,5.12,-299.683,119.629,93.75
-2.914,0.412,3.756,-312.622,126.892,22.217
-5.627,1.053,2.077,-318.42,114.868,9.521
-7.25,3.464,1.402,-335.266,86.731,-4.639
-6.522,6.216,0.737,-365.723,59.814,-84.961
-4.555,8.848,-1.584,-402.527,8.789,-189.758
-0.33,11.259,-2.359,-409.973,-27.222,-137.817
2.594,12.963,-3.072,-390.686,-24.658,-74.219
-1.684,10.953,-1.56,-343.079,-31.555,-91.309
-2.809,10.872,0.325,-293.518,-66.162,-166.687
1.177,11.795,0.55,-250.122,-107.361,-247.742
1.086,10.408,-1.215,-215.576,-124.268,-161.926
-1.938,8.585,-3.201,-197.571,-137.451,-123.474
-0.187,10.393,-4.9,-191.895,-148.682,-160.034
3.024,10.245,-6.484,-191.345,-144.531,-210.327
0.522,6.106,-5.8,-169.678,-139.343,-187.317
-0.617,4.527,-5.465,-129.395,-134.033,-94.604
-1.971,3.838,-5.297,-94.543,-122.62,-41.077
-3.201,3.479,-4.862,-52.856,-112.671,-85.205
-2.924,4.154,-3.244,-22.156,-105.774,-82.459
-2.771,5.417,-1.0,-1.526,-97.412,-45.105
-3.321,5.876,-0.177,-2.869,-93.506,-65.735
-1.445,4.823,0.105,-12.695,-86.792,-143.005
-0.555,3.254,-0.455,-21.057,-65.857,-134.033
1.928,-1.713,0.029,-24.78,-45.898,-128.052
3.747,-3.192,2.005,-23.987,-11.047,-90.82
1.957,-6.01,5.149,-29.114,11.475,-158.752
7.833,6.867,-3.642,-66.284,55.847,-107.239
-1.148,8.565,-5.096,-117.31,76.172,75.5
-6.087,-4.426,0.33,-130.493,44.922,-46.753
-6.101,-7.517,2.235,-79.468,-14.771,-231.262
1.23,-4.407,-0.498,6.104,-14.343,-237.427
4.364,-2.617,-1.579,58.105,18.066,-159.363
1.641,-3.694,-1.22,98.816,42.847,67.505
0.364,-2.378,-0.66,108.765,48.767,131.836
-2.34,-1.44,0.627,101.257,38.208,119.141
-3.244,-1.268,0.167,86.609,28.625,80.994
-1.646,0.234,-0.943,62.378,2.563,83.374
4.867,0.794,-1.507,40.039,20.63,139.282
1.651,0.201,-1.263,17.761,31.372,177.307
-8.13,-4.254,5.048,10.498,16.968,173.706
0.383,3.393,1.201,-32.288,2.93,190.918
-1.349,1.699,2.541,-73.12,10.803,174.377
0.88,1.842,2.814,-130.005,15.808,41.626
-1.775,0.105,4.053,-163.452,0.366,-65.247
1.426,1.823,3.771,-194.031,-15.015,-26.978
2.555,2.45,2.967,-218.811,-12.817,30.396
4.584,1.928,-0.086,-234.863,-5.371,-12.451
3.555,-0.703,-0.34,-231.384,-2.075,-53.101
3.321,-1.12,-0.325,-208.801,-1.282,-4.944
1.919,-0.986,-0.833,-177.429,2.747,49.927
0.55,0.459,-0.895,-153.565,4.15,59.875
0.273,0.751,-1.364,-139.16,4.211,43.335
0.148,0.675,-1.287,-124.939,3.54,20.386
-0.589,-0.239,-1.258,-109.131,1.221,30.762
-1.254,-0.373,-0.938,-88.806,-5.981,44.983
-0.617,0.177,-1.407,-75.073,-14.038,13.306
-0.043,0.072,-1.924,-65.369,-16.846,-6.958
-0.239,-0.029,-1.928,-49.927,-18.86,-1.16
-0.024,0.187,-1.689,-36.194,-20.63,-8.057
0.191,-1.134,-1.407,-14.465,-22.522,-40.466
1.139,-2.45,-1.584,14.832,-19.104,-26.978
0.244,-1.096,-2.115,40.039,-15.747,45.776
-0.239,-0.598,-2.436,56.091,-19.531,22.461
-0.321,-0.852,-2.096,67.81,-20.813,-37.72
-1.029,0.043,-1.771,80.811,-16.846,-9.888
-0.646,0.775,-1.995,89.6,-7.69,28.809
0.746,2.062,-2.608,88.013,2.808,-48.218
2.244,3.689,-3.957,80.75,30.64,-85.144
0.536,-0.407,-1.637,84.839,46.57,-25.94
-1.12,-0.589,-0.254,105.652,48.767,32.715
-3.555,1.981,-0.861,124.512,28.503,17.822
-2.125,2.608,0.435,137.146,15.259,-30.823
-0.043,1.871,1.244,161.011,8.118,-42.419
-0.488,2.493,1.081,185.425,5.615,1.465
-0.139,3.015,1.349,200.378,7.813,-1.892
-0.158,2.684,4.532,196.533,20.02,-56.274
-1.177,4.79,4.723,178.894,39.246,-102.112
-0.134,1.182,6.819,157.044,61.401,-130.981
3.412,5.292,2.881,122.498,93.323,-115.112
-0.636,3.397,3.206,90.271,116.577,5.371
-1.617,-1.56,2.804,82.642,113.586,72.571
-1.876,-4.01,3.737,94.727,95.703,66.467
-2.35,-3.938,0.555,107.361,72.998,44.128
-2.134,-5.345,0.766,112.061,60.364,21.545
-0.359,-6.819,-0.321,118.103,48.889,37.659
-0.038,-2.637,0.301,104.37,39.856,112.183
-1.187,-1.971,-3.79,49.744,26.794,133.24
1.469,-2.326,-1.373,17.578,26.55,42.419
-0.412,-2.483,0.115,-2.93,21.729,9.888
-2.57,-3.225,1.704,-4.395,5.188,90.515
-1.522,-1.273,0.794,-11.108,-14.709,16.479
-2.613,-0.943,-0.081,-17.7,-31.86,-50.537
-2.383,-0.584,2.756,-8.606,-51.636,-18.066
-1.483,-0.019,1.689,-1.404,-64.331,-28.076
-0.412,0.45,-1.048,5.127,-68.909,-27.344
0.871,1.474,0.512,4.944,-59.204,31.616
2.139,3.737,0.675,-5.31,-46.814,55.481
4.57,5.924,-3.278,-23.01,-16.724,105.103
3.766,3.082,-3.34,-34.424,4.517,67.505
4.46,0.464,-2.718,-44.556,25.33,-7.446
4.929,1.933,-5.048,-56.091,48.645,6.104
2.905,1.455,-5.273,-59.448,56.946,38.513
0.01,-1.613,-4.0,-30.701,32.41,14.587
-1.555,-3.187,-3.728,22.766,-7.813,41.199
-1.718,-1.632,-2.905,77.332,-57.8,79.651
-0.029,0.565,-2.096,81.848,-80.261,16.663
1.192,2.378,-1.469,59.143,-71.838,-42.297
1.354,1.034,-1.56,23.804,-42.48,-75.867
3.211,0.153,-2.024,-7.813,-8.789,-8.789
4.469,-0.091,-1.479,-37.903,40.161,61.646
1.225,-1.981,-0.847,-48.706,64.636,47.791
-2.9,-3.742,2.78,-28.259,45.471,75.378
-3.369,-1.694,1.536,5.493,0.366,80.627
-3.464,0.507,1.402,18.555,-41.504,15.564
0.479,1.043,1.761,20.63,-65.552,-37.476
4.249,2.019,0.79,4.028,-46.448,-36.926
7.441,6.857,-0.354,-30.884,-8.911,-6.592
1.321,4.847,-2.287,-67.505,17.151,63.904
-2.546,0.316,-2.268,-50.171,-6.104,52.49
-4.206,-0.613,-3.11,-0.305,-63.171,-30.212
-1.445,-0.651,-4.79,36.987,-95.398,-24.902
-0.019,0.732,-4.929,37.659,-90.515,11.719
-1.536,2.68,-5.752,8.728,-68.604,42.969
-0.613,1.871,-5.221,-24.231,-44.739,6.287
-0.306,0.005,-2.914,-41.504,-19.531,-18.616
-0.211,-0.282,-2.149,-30.945,-6.714,37.903
-0.861,-0.44,-0.708,-9.033,-9.277,41.443
-0.474,-0.11,-0.833,14.954,-18.372,18.127
0.431,0.727,-0.77,22.644,-18.494,25.146
1.904,1.239,-1.488,8.118,-5.005,10.01
1.517,1.857,-2.35,-15.747,15.259,28.809
0.593,1.991,-1.89,-31.677,30.884,63.66
-0.043,0.12,-3.541,-26.123,33.386,74.28
-1.187,-1.574,-2.584,15.869,18.433,105.164
-1.345,-0.957,-3.675,75.928,-11.536,128.967
-1.182,1.579,-5.101,95.032,-27.588,116.943
-1.335,2.804,-5.666,76.843,-22.705,100.769
-0.967,4.565,-5.589,33.63,1.831,55.115
-2.096,4.8,-6.192,-16.052,23.743,-44.922
-5.335,0.67,-4.618,-58.289,13.55,-142.212
-7.13,-0.22,-2.952,-62.927,-36.499,-65.186
-9.652,0.287,-2.024,-58.777,-108.398,-74.951
-9.518,1.034,-2.895,-64.087,-207.336,-189.941
-7.417,3.182,-3.354,-80.566,-275.391,-151.55
-7.498,7.163,-3.35,-140.259,-346.741,-98.511
-7.671,10.36,-3.144,-222.595,-418.762,-108.215
-6.216,14.542,-4.622,-309.143,-478.76,-93.811
-9.714,25.682,1.914,-447.205,-567.81,-0.916
-17.461,59.872,26.227,-679.26,-607.056,268.433
56.369,65.547,25.27,-1015.747,-253.418,-743.897
142.995,23.562,12.662,-780.64,1441.406,953.735
151.733,-16.963,-60.015,317.81,1999.939,1082.581
42.382,58.01,-23.189,883.972,1565.063,643.311
19.461,23.95,45.114,372.681,1677.734,-4.639
-1.699,-61.657,35.453,-144.898,897.095,112.122
2.259,-29.022,23.663,-120.422,361.023,499.268
-7.36,-13.753,22.026,-199.707,97.595,106.812
7.163,-26.768,12.963,-108.398,-18.433,-63.66
4.354,-23.289,8.661,11.353,-13.245,-32.288
-1.718,-10.02,6.254,25.146,-13.184,-0.305
-4.063,-3.632,5.962,-63.66,-25.024,-40.1
-2.862,0.005,3.283,-139.16,-28.015,-91.98
-1.838,1.196,2.058,-193.97,-23.376,-62.866
-3.914,5.024,0.536,-233.154,-24.048,-54.138
-4.407,7.254,-0.163,-268.616,-34.546,-81.482
-3.436,8.685,-0.995,-289.551,-57.617,-174.072
-4.776,9.446,-1.34,-298.767,-93.079,-237.732
-5.063,5.981,0.483,-279.053,-145.02,-245.789
-2.082,8.963,1.091,-258.606,-165.405,-193.054
-1.66,14.499,-0.498,-264.282,-162.964,-109.253
1.531,11.815,-0.455,-270.142,-144.775,-102.173
2.957,10.762,-1.397,-255.859,-115.051,-44.983
-0.723,10.896,-0.263,-228.027,-96.008,-93.506
-1.948,10.312,-1.139,-191.65,-112.488,-212.647
-1.072,6.91,-3.158,-136.841,-129.517,-280.701
-2.474,2.359,-3.163,-68.359,-131.043,-270.752
-0.354,-1.493,-2.603,-20.02,-105.591,-146.118
-0.23,4.292,-4.077,-8.972,-49.011,54.626
0.593,6.321,-2.732,-32.104,-20.447,-34.668
1.287,11.604,-7.015,-94.666,16.907,-95.337
-5.694,10.35,-6.058,-158.264,15.869,-43.64
-6.647,0.651,0.187,-163.513,-16.113,-106.201
-3.096,1.12,1.651,-122.498,-56.702,-171.692
0.66,2.086,1.416,-70.19,-66.406,-255.981
-0.359,1.742,1.048,-7.629,-53.406,-195.252
0.191,1.493,0.368,34.302,-26.001,-87.646
1.392,0.254,-0.359,50.781,-1.465,-77.087
3.091,-0.598,-0.55,57.373,32.593,-30.762
2.182,-0.431,0.091,62.5,52.124,83.923
-0.751,0.455,1.373,49.5,63.293,136.353
-0.679,-1.153,1.158,35.522,70.679,88.135
-1.402,-0.479,0.383,25.146,79.651,76.599
1.57,-1.895,0.129,13.0,87.83,68.359
-0.852,-2.713,0.024,10.986,99.487,96.13
-2.306,-2.11,-0.33,6.836,86.182,171.448
-2.077,-0.804,-1.727,-9.094,67.81,174.194
-2.503,-2.239,-1.373,-27.954,42.908,58.899
-3.857,-2.283,0.392,-42.603,1.831,-59.692
-4.067,-1.991,0.766,-42.847,-33.02,-49.5
-2.503,-1.0,1.029,-46.387,-63.354,-26.978
-2.125,0.598,1.526,-65.491,-84.045,-25.574
-1.794,1.986,2.364,-89.111,-92.224,-32.654
-0.9,1.613,3.01,-117.188,-94.36,-77.759
-0.699,0.0,1.699,-131.653,-92.102,-84.839
4.067,1.349,0.66,-148.132,-67.2,17.761
6.431,3.943,-0.617,-180.359,-20.02,55.603
2.536,2.948,1.282,-196.533,5.615,60.12
2.531,-0.708,-0.392,-194.092,22.827,45.837
1.938,-2.474,-0.431,-175.842,25.94,15.015
1.828,-1.751,-0.699,-145.447,23.01,51.819
2.795,-1.68,-0.904,-118.225,23.743,64.941
0.904,0.206,-1.034,-103.027,21.79,99.487
-0.866,2.005,-0.45,-101.379,7.141,94.91
-1.852,1.077,0.191,-105.164,-16.663,3.845
-1.814,-0.268,0.234,-99.426,-43.335,-40.1
0.22,-2.35,-0.345,-81.055,-52.551,-34.058
1.89,-1.708,-1.914,-62.256,-44.067,-18.555
2.11,-1.608,-1.708,-43.091,-28.687,-18.677
1.608,-1.962,-1.775,-23.071,-17.639,-19.775
0.1,-0.488,-2.249,1.587,-9.277,33.02
-0.804,0.541,-2.369,22.583,-7.935,19.836
-0.995,1.139,-1.952,38.147,-7.751,-42.969
-0.823,-0.431,-1.909,58.411,0.0,-120.3
