aX,aY,aZ,Gx,Gy,Gz
1.182,-2.44,0.263,99.06,72.388,39.246
0.541,-3.091,2.766,102.905,65.308,50.72
-1.335,-3.024,4.656,105.286,47.485,62.073
-2.464,-2.589,5.646,100.769,25.452,53.711
-3.23,-2.053,7.881,89.478,-4.517,27.649
-3.273,-3.555,6.647,78.369,-35.706,10.315
-3.828,-2.139,4.455,62.5,-64.575,2.686
-1.704,-1.01,3.976,33.325,-92.041,-27.832
0.656,0.258,3.637,4.639,-104.675,-64.575
1.967,2.737,1.187,-33.203,-109.802,-64.697
2.335,2.627,-1.584,-69.092,-109.863,-47.729
3.091,-1.005,-3.034,-81.97,-104.675,-44.312
2.483,-2.263,-4.125,-71.777,-92.834,-23.254
2.421,-1.292,-4.412,-57.312,-78.613,-20.264
1.809,0.775,-4.0,-43.762,-62.134,-34.18
0.78,1.704,-3.603,-33.203,-47.791,-4.15
-0.675,2.402,-2.9,-27.71,-40.344,12.39
-0.727,3.531,-1.158,-25.818,-36.072,-25.696
-1.101,3.575,0.311,-21.301,-32.715,-33.325
-1.507,4.072,-1.254,-18.433,-29.297,-2.502
-0.727,2.823,-0.737,-17.273,-23.376,-26.794
0.153,3.158,1.766,-10.376,-12.573,-25.085
-0.201,1.943,1.579,0.977,3.784,28.931
-1.306,-0.488,0.105,11.963,10.254,43.274
-0.89,-1.952,-1.101,21.484,11.841,4.456
0.665,-2.369,-1.325,26.55,15.747,-23.254
0.79,-3.086,-1.952,30.945,18.25,2.93
-0.206,-3.354,-1.732,35.645,15.076,49.194
-0.857,-3.187,0.445,39.246,8.728,66.284
-1.01,-1.732,1.986,38.086,-1.526,42.114
-1.048,-2.364,4.244,37.109,-9.949,38.574
-0.991,-2.316,4.752,39.673,-14.832,75.195
-2.163,-1.555,6.039,37.903,-26.611,111.389
-2.766,0.493,2.493,23.193,-39.001,101.318
1.426,5.704,-0.967,-3.479,-48.767,87.952
3.297,-2.967,5.637,-28.564,-35.645,45.044
5.422,5.891,-1.488,-52.917,-20.386,23.743
3.799,2.608,-1.737,-89.172,-4.028,38.879
0.445,-3.455,-0.943,-87.524,-2.686,30.457
-0.976,-5.426,-3.297,-51.758,-15.137,21.057
1.756,-4.536,-4.154,-20.63,-21.301,-62.195
2.775,-3.201,-4.417,-5.31,-15.747,-89.661
2.35,-1.565,-3.579,2.502,-4.578,-19.287
1.904,-1.024,-2.498,4.089,1.648,33.264
0.354,-0.077,-1.78,2.808,-0.977,35.339
-0.498,0.871,0.651,0.244,-11.902,23.499
0.761,3.527,1.163,-5.798,-18.616,23.804
2.182,2.943,-0.268,-15.076,-17.334,3.174
1.239,0.364,-0.072,-10.315,-11.78,18.677
-0.373,-0.785,1.761,6.165,-11.23,54.138
-0.598,0.77,2.498,11.841,-16.479,30.823
-3.019,0.507,2.522,10.315,-28.259,7.202
-4.852,-0.713,2.876,12.024,-51.758,1.099
-3.034,-1.254,3.517,12.451,-69.702,-44.25
-2.641,-1.727,2.67,14.282,-81.909,-55.42
-1.952,-1.416,1.747,10.803,-89.05,-40.771
0.928,-1.115,1.034,1.709,-85.815,-64.148
1.713,-2.196,1.125,-3.601,-74.707,-63.843
1.665,-2.196,0.646,-4.761,-64.27,-16.785
1.574,-2.034,0.684,-6.958,-53.894,19.043
1.101,-2.469,0.416,-7.751,-48.096,20.508
0.502,-2.182,0.263,-6.531,-44.8,28.564
0.565,-1.885,0.014,-5.371,-41.931,24.292
-0.005,-1.684,0.278,-2.686,-41.016,23.621
0.12,0.167,0.995,-2.686,-41.687,16.052
1.412,1.01,1.445,-8.118,-38.147,-14.465
2.589,0.943,0.77,-10.437,-27.527,-11.353
2.034,1.68,0.995,-11.536,-12.817,38.696
2.0,1.503,0.79,-14.16,-2.991,43.03
1.507,1.058,0.947,-14.648,4.883,20.325
0.88,1.043,0.89,-11.78,9.583,33.997
0.038,0.536,0.742,-6.958,9.705,47.852
0.254,0.536,0.56,-2.93,7.446,28.625
0.053,0.412,0.005,-1.709,5.127,10.498
-0.129,0.483,-0.043,-0.854,3.052,13.794
-0.479,0.335,-0.282,0.488,-0.549,22.888
